
  ZVR, 2.05

  stimulus-start        ; stimulus-stop       ; stimulus-unit       ; nof-points; parameter-type; impedance-ohm
  9.00000000000E+03     ; 1.00000000000E+08   ; Hz                  ; 2001      ; S11           ; 50        

  conversion            ; time-domain         ; data-format         ; param-unit; smoothing     ; trace-math
  S                     ; none                ; RI                  ; none      ; none          ; none

  sweep-mode-type       ; notlinear-meas-mode 
  FUNDAMENTAL           ; none                


  freq              ;  reS11        ; imS11         
   1.53056115317E+04;  0.928353     ; 0.2934       
   1.53770690712E+04;  0.928418     ; 0.291781     
   1.54488602256E+04;  0.929342     ; 0.290561     
   1.55209865525E+04;  0.930417     ; 0.289049     
   1.55934496167E+04;  0.930224     ; 0.288072     
   1.56662509902E+04;  0.930018     ; 0.287195     
   1.57393922526E+04;  0.931177     ; 0.285663     
   1.58128749908E+04;  0.931947     ; 0.285034     
   1.58867007989E+04;  0.932552     ; 0.282911     
   1.59608712786E+04;  0.933769     ; 0.282214     
   1.60353880393E+04;  0.933679     ; 0.280917     
   1.61102526974E+04;  0.934036     ; 0.279877     
   1.61854668773E+04;  0.934506     ; 0.278506     
   1.62610322108E+04;  0.935001     ; 0.278001     
   1.63369503372E+04;  0.935218     ; 0.277162     
   1.64132229038E+04;  0.936509     ; 0.275556     
   1.64898515653E+04;  0.936301     ; 0.274511     
   1.65668379841E+04;  0.93693      ; 0.273101     
   1.66441838307E+04;  0.938122     ; 0.271917     
   1.67218907829E+04;  0.939805     ; 0.27193      
   1.67999605267E+04;  0.942135     ; 0.274528     
   1.68783947560E+04;  0.940182     ; 0.269857     
   1.69571951723E+04;  0.938713     ; 0.267103     
   1.70363634853E+04;  0.939669     ; 0.265895     
   1.71159014126E+04;  0.939956     ; 0.26538      
   1.71958106798E+04;  0.940355     ; 0.263927     
   1.72760930207E+04;  0.940864     ; 0.26283      
   1.73567501769E+04;  0.941271     ; 0.261525     
   1.74377838984E+04;  0.94129      ; 0.260379     
   1.75191959432E+04;  0.942456     ; 0.259528     
   1.76009880777E+04;  0.94257      ; 0.258307     
   1.76831620763E+04;  0.943886     ; 0.256977     
   1.77657197220E+04;  0.943844     ; 0.255585     
   1.78486628058E+04;  0.944095     ; 0.2547       
   1.79319931272E+04;  0.944516     ; 0.25387      
   1.80157124941E+04;  0.945333     ; 0.252958     
   1.80998227229E+04;  0.945955     ; 0.252057     
   1.81843256384E+04;  0.946257     ; 0.250465     
   1.82692230739E+04;  0.946896     ; 0.247622     
   1.83545168714E+04;  0.947909     ; 0.247285     
   1.84402088813E+04;  0.948029     ; 0.247316     
   1.85263009628E+04;  0.94747      ; 0.247378     
   1.86127949837E+04;  0.948303     ; 0.245675     
   1.86996928205E+04;  0.948779     ; 0.244396     
   1.87869963586E+04;  0.948981     ; 0.243461     
   1.88747074920E+04;  0.949396     ; 0.242415     
   1.89628281237E+04;  0.949895     ; 0.241346     
   1.90513601656E+04;  0.950452     ; 0.240345     
   1.91403055383E+04;  0.951242     ; 0.239191     
   1.92296661716E+04;  0.95124      ; 0.238241     
   1.93194440042E+04;  0.951751     ; 0.237266     
   1.94096409840E+04;  0.952273     ; 0.236457     
   1.95002590678E+04;  0.952709     ; 0.235075     
   1.95913002216E+04;  0.953123     ; 0.234102     
   1.96827664206E+04;  0.953303     ; 0.232892     
   1.97746596492E+04;  0.953247     ; 0.231943     
   1.98669819012E+04;  0.954019     ; 0.231222     
   1.99597351794E+04;  0.954826     ; 0.230187     
   2.00529214962E+04;  0.965397     ; 0.222891     
   2.01465428734E+04;  0.966119     ; 0.220971     
   2.02406013422E+04;  0.966379     ; 0.22016      
   2.03350989431E+04;  0.966372     ; 0.21911      
   2.04300377265E+04;  0.966949     ; 0.218167     
   2.05254197519E+04;  0.967042     ; 0.217087     
