
  ZVR, 2.05

  stimulus-start        ; stimulus-stop       ; stimulus-unit       ; nof-points; parameter-type; impedance-ohm
  9.00000000000E+03     ; 1.00000000000E+08   ; Hz                  ; 2001      ; S11           ; 50        

  conversion            ; time-domain         ; data-format         ; param-unit; smoothing     ; trace-math
  S                     ; none                ; RI                  ; none      ; none          ; none

  sweep-mode-type       ; notlinear-meas-mode 
  FUNDAMENTAL           ; none                


  freq              ;  reS11        ; imS11         
   1.50230866240E+04; -0.972468     ;-0.00680349   
   1.50932251352E+04; -0.972396     ;-0.00678483   
   1.51636911032E+04; -0.972571     ;-0.00672153   
   1.52344860567E+04; -0.972479     ;-0.00626984   
   1.53056115317E+04; -0.972417     ;-0.00641232   
   1.53770690712E+04; -0.972513     ;-0.00675116   
   1.54488602256E+04; -0.972565     ;-0.0065884    
   1.55209865525E+04; -0.972743     ;-0.00683516   
   1.55934496167E+04; -0.972886     ;-0.00669088   
   1.56662509902E+04; -0.973121     ;-0.00650228   
   1.57393922526E+04; -0.973096     ;-0.00632486   
   1.58128749908E+04; -0.973074     ;-0.00622769   
   1.58867007989E+04; -0.972724     ;-0.00648842   
   1.59608712786E+04; -0.97258      ;-0.00619934   
   1.60353880393E+04; -0.972616     ;-0.00618182   
   1.61102526974E+04; -0.97273      ;-0.00615252   
   1.61854668773E+04; -0.972821     ;-0.00618301   
   1.62610322108E+04; -0.973046     ;-0.00601395   
   1.63369503372E+04; -0.97315      ;-0.00591372   
   1.64132229038E+04; -0.972987     ;-0.00588043   
   1.64898515653E+04; -0.97332      ;-0.00598706   
   1.65668379841E+04; -0.973272     ;-0.00599002   
   1.66441838307E+04; -0.972937     ;-0.00589732   
   1.67218907829E+04; -0.97225      ;-0.00552173   
   1.67999605267E+04; -0.971445     ;-0.00457308   
   1.68783947560E+04; -0.972675     ;-0.00552065   
   1.69571951723E+04; -0.973553     ;-0.00600965   
   1.70363634853E+04; -0.973427     ;-0.00594968   
   1.71159014126E+04; -0.973613     ;-0.00575975   
   1.71958106798E+04; -0.973748     ;-0.0058504    
   1.72760930207E+04; -0.973709     ;-0.00584459   
   1.73567501769E+04; -0.973795     ;-0.0060728    
   1.74377838984E+04; -0.973985     ;-0.00603054   
   1.75191959432E+04; -0.973901     ;-0.0059115    
   1.76009880777E+04; -0.973968     ;-0.00589423   
   1.76831620763E+04; -0.973858     ;-0.0056888    
   1.77657197220E+04; -0.973809     ;-0.00589731   
   1.78486628058E+04; -0.974099     ;-0.00583176   
   1.79319931272E+04; -0.974251     ;-0.0057357    
   1.80157124941E+04; -0.974294     ;-0.00561921   
   1.80998227229E+04; -0.974262     ;-0.00550261   
   1.81843256384E+04; -0.974246     ;-0.00567722   
   1.82692230739E+04; -0.973694     ;-0.00602665   
   1.83545168714E+04; -0.973841     ;-0.00573055   
   1.84402088813E+04; -0.974278     ;-0.00550301   
   1.85263009628E+04; -0.974977     ;-0.00544758   
   1.86127949837E+04; -0.974747     ;-0.00542528   
   1.86996928205E+04; -0.974767     ;-0.0054666    
   1.87869963586E+04; -0.97481      ;-0.00531431   
   1.88747074920E+04; -0.975003     ;-0.00523362   
   1.89628281237E+04; -0.975028     ;-0.00528301   
   1.90513601656E+04; -0.975006     ;-0.00524419   
   1.91403055383E+04; -0.974976     ;-0.00514892   
   1.92296661716E+04; -0.975173     ;-0.00519133   
   1.93194440042E+04; -0.975164     ;-0.00507971   
   1.94096409840E+04; -0.975187     ;-0.00519448   
   1.95002590678E+04; -0.975263     ;-0.00503176   
   1.95913002216E+04; -0.97529      ;-0.00511014   
   1.96827664206E+04; -0.975556     ;-0.00503587   
   1.97746596492E+04; -0.975612     ;-0.0049135    
   1.98669819012E+04; -0.975667     ;-0.0048673    
   1.99597351794E+04; -0.97549      ;-0.00494095   
   2.00529214962E+04; -0.985102     ;-0.00260144   
   2.01465428734E+04; -0.985615     ;-0.0029567    
   2.02406013422E+04; -0.985682     ;-0.00292934   
   2.03350989431E+04; -0.985535     ;-0.00275734   
   2.04300377265E+04; -0.985696     ;-0.00288993   
   2.05254197519E+04; -0.985751     ;-0.00260697   
   2.06212470888E+04; -0.985826     ;-0.00268705   
   2.07175218163E+04; -0.985879     ;-0.00245751   
   2.08142460231E+04; -0.986001     ;-0.00243971   
   2.09114218076E+04; -0.986004     ;-0.00250834   
   2.10090512782E+04; -0.986129     ;-0.00221177   
   2.11071365529E+04; -0.986148     ;-0.00231275   
   2.12056797599E+04; -0.986282     ;-0.002171     
   2.13046830370E+04; -0.986367     ;-0.00197347   
   2.14041485322E+04; -0.986422     ;-0.00177908   
   2.15040784035E+04; -0.986174     ;-0.00185442   
   2.16044748189E+04; -0.986385     ;-0.00194574   
   2.17053399565E+04; -0.986364     ;-0.00185877   
   2.18066760047E+04; -0.986149     ;-0.00194959   
   2.19084851621E+04; -0.986273     ;-0.00177698   
   2.20107696374E+04; -0.986423     ;-0.00153847   
   2.21135316497E+04; -0.98641      ;-0.00158183   
   2.22167734287E+04; -0.986598     ;-0.00140914   
   2.23204972141E+04; -0.986592     ;-0.00155315   
   2.24247052562E+04; -0.986675     ;-0.00140803   
   2.25293998161E+04; -0.986781     ;-0.00119475   
   2.26345831650E+04; -0.986705     ;-0.00126419   
   2.27402575850E+04; -0.986783     ;-0.0011869    
   2.28464253688E+04; -0.986978     ;-0.00111054   
   2.29530888197E+04; -0.986893     ;-0.00095237   
   2.30602502519E+04; -0.986977     ;-0.000921838  
   2.31679119902E+04; -0.987173     ;-0.000916101  
   2.32760763706E+04; -0.98725      ;-0.000790875  
   2.33847457396E+04; -0.987029     ;-0.000582363  
   2.34939224549E+04; -0.987246     ;-0.00071948   
   2.36036088852E+04; -0.987142     ;-0.000688173  
   2.37138074102E+04; -0.987254     ;-0.000295363  
   2.38245204208E+04; -0.98722      ;-0.000154685  
   2.39357503188E+04; -0.987426     ;-0.000506319  
   2.40474995175E+04; -0.987663     ;-0.000402022  
   2.41597704414E+04; -0.987209     ; 0.00018714   
